Name,Ticker,Traded_Date,Company,Trade_Size_USD,Transaction,Party,Chamber
Bob Gibbs,ABBV,2020-11-17,ABBVIE INC.,"15,001-50,000",Purchase,R,House
Bob Gibbs,AAPL,2020-09-02,APPLE INC.,"1,001-15,000",Purchase,R,House
Bob Gibbs,JNJ,2020-08-21,JOHNSON & JOHNSON,"1,001-15,000",Purchase,R,House
Bob Gibbs,EMR,2020-07-31,EMERSON ELECTRIC COMPANY,"1,001-15,000",Purchase,R,House
Bob Gibbs,ETP,2020-05-19,"ENERGY TRANSFER PARTNERS, L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS","1,001-15,000",Purchase,R,House
Bob Gibbs,NLY,2020-01-08,ANNALY CAPITAL MANAGEMENT INC,"1,001-15,000",Purchase,R,House
Bob Gibbs,AAPL,2020-01-08,APPLE INC.,"15,001-50,000",Purchase,R,House
Bob Gibbs,ORCL,2020-01-08,ORACLE CORPORATION,"1,001-15,000",Purchase,R,House
Bob Gibbs,VZ,2020-01-08,VERIZON COMMUNICATIONS INC.,"1,001-15,000",Purchase,R,House
Brian Mast,IPWR,2020-12-24,IDEAL POWER INC.,"15,001-50,000",Purchase,R,House
Brian Mast,TLRY,2020-11-06,"TILRAY, INC. - CLASS 2","15,001-50,000",Purchase,R,House
Brian Mast,BEEM,2020-09-15,BEAM GLOBAL,"15,001-50,000",Purchase,R,House
Brian Mast,ZUO,2020-09-03,"ZUORA, INC. CLASS A","15,001-50,000",Purchase,R,House
Brian Mast,RXT,2020-08-18,"RACKSPACE TECHNOLOGY, INC.","15,001-50,000",Purchase,R,House
Brian Mast,PSNL,2020-02-14,"PERSONALIS, INC.","15,001-50,000",Purchase,R,House
Brian Mast,BGFV,2020-02-14,BIG 5 SPORTING GOODS CORPORATION,"1,001-15,000",Purchase,R,House
Brian Mast,SDC,2020-02-14,"SMILEDIRECTCLUB, INC.","1,001-15,000",Purchase,R,House
Brian Mast,IPWR,2020-12-24,IDEAL POWER INC.,"15,001-50,000",Purchase,R,House
Brian Mast,TLRY,2020-11-06,"TILRAY, INC. - CLASS 2","15,001-50,000",Purchase,R,House
Brian Mast,BEEM,2020-09-15,BEAM GLOBAL,"15,001-50,000",Purchase,R,House
Brian Mast,ZUO,2020-09-03,"ZUORA, INC. CLASS A","15,001-50,000",Purchase,R,House
Brian Mast,RXT,2020-08-18,"RACKSPACE TECHNOLOGY, INC.","15,001-50,000",Purchase,R,House
Brian Mast,PSNL,2020-02-14,"PERSONALIS, INC.","15,001-50,000",Purchase,R,House
Brian Mast,BGFV,2020-02-14,BIG 5 SPORTING GOODS CORPORATION,"1,001-15,000",Purchase,R,House
Brian Mast,SDC,2020-02-14,"SMILEDIRECTCLUB, INC.","1,001-15,000",Purchase,R,House
"Capito, Shelley Moore",UNH,2020-12-31,UnitedHealth Group Incorporated,"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",AMT,2020-12-31,American Tower Corporation (REIT),"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",PSX,2020-12-31,Phillips 66,"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",WFC,2020-06-25,Wells Fargo & Company,"15,001-50,000",Purchase,R,Senate
"Capito, Shelley Moore",ABT,2020-03-03,Abbott Laboratories,"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",MSFT,2020-03-03,Microsoft Corporation,"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",JNJ,2020-03-03,Johnson & Johnson,"1,001-15,000",Purchase,R,Senate
"Capito, Shelley Moore",JPM,2020-03-03,JPMorgan Chase & Co.,"1,001-15,000",Purchase,R,Senate
Daniel Meuser,GOOG,2020-03-30,ALPHABET INC. - CLASS C CAPITAL STOCK,"1,001-15,000",Purchase,R,House
Daniel Meuser,DIS,2020-03-30,WALT DISNEY COMPANY,"1,001-15,000",Purchase,R,House
Daniel Meuser,V,2020-03-30,VISA INC.,"1,001-15,000",Purchase,R,House
Daniel Meuser,MSFT,2020-03-30,MICROSOFT CORPORATION,"1,001-15,000",Purchase,R,House
Daniel Meuser,GOOGL,2020-03-26,ALPHABET INC. - CLASS A,"1,001-15,000",Purchase,R,House
Daniel Meuser,MSFT,2020-03-26,MICROSOFT CORPORATION,"1,001-15,000",Purchase,R,House
Daniel Meuser,V,2020-03-26,VISA INC.,"1,001-15,000",Purchase,R,House
Daniel Meuser,DIS,2020-03-26,WALT DISNEY COMPANY,"15,001-50,000",Purchase,R,House
Earl Blumenauer,NWN,2020-11-13,NORTHWEST NATURAL HOLDING COMPANY,"1,001-15,000",Purchase,D,House
Earl Blumenauer,SAP,2020-11-12,SAP SE ADS,"1,001-15,000",Purchase,D,House
Earl Blumenauer,BX,2020-10-28,THE BLACKSTONE GROUP INC. CLASS A,"1,001-15,000",Purchase,D,House
Earl Blumenauer,NWN,2020-08-14,NORTHWEST NATURAL HOLDING COMPANY,"1,001-15,000",Purchase,D,House
Earl Blumenauer,F,2020-08-11,FORD MOTOR COMPANY,"1,001-15,000",Purchase,D,House
Earl Blumenauer,ICE,2020-08-05,INTERCONTINENTAL EXCHANGE INC.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,ICE,2020-08-04,INTERCONTINENTAL EXCHANGE INC.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,INTC,2020-07-24,INTEL CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,FE,2020-07-22,FIRSTENERGY CORP.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,POR,2020-06-02,PORTLAND GENERAL ELECTRIC CO,"1,001-15,000",Purchase,D,House
Earl Blumenauer,HPQ,2020-06-02,HP INC.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,POR,2020-06-01,PORTLAND GENERAL ELECTRIC CO,"1,001-15,000",Purchase,D,House
Earl Blumenauer,NWN,2020-05-15,NORTHWEST NATURAL HOLDING COMPANY,"1,001-15,000",Purchase,D,House
Earl Blumenauer,VOD,2020-05-13,VODAFONE GROUP PLC - AMERICAN DEPOSITARY SHARES EACH REPRESENTING TEN ORDINARY SHARES,"1,001-15,000",Purchase,D,House
Earl Blumenauer,BLK,2020-05-12,"BLACKROCK, INC.","1,001-15,000",Purchase,D,House
Earl Blumenauer,CVS,2020-05-08,CVS HEALTH CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,AMGN,2020-05-01,AMGEN INC.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,BAC,2020-04-29,BANK OF AMERICA CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,V,2020-04-21,VISA INC.,"1,001-15,000",Purchase,D,House
Earl Blumenauer,CRM,2020-04-09,SALESFORCE.COM INC,"1,001-15,000",Purchase,D,House
Earl Blumenauer,MDT,2020-04-03,MEDTRONIC PLC. ORDINARY SHARES,"1,001-15,000",Purchase,D,House
Earl Blumenauer,ACN,2020-03-26,ACCENTURE PLC CLASS A ORDINARY SHARES,"1,001-15,000",Purchase,D,House
Earl Blumenauer,SBUX,2020-03-26,STARBUCKS CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,FRC,2020-03-26,FIRST REPUBLIC BANK,"1,001-15,000",Purchase,D,House
Earl Blumenauer,HD,2020-03-20,"HOME DEPOT, INC.","1,001-15,000",Purchase,D,House
Earl Blumenauer,GD,2020-03-10,GENERAL DYNAMICS CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,INTC,2020-03-10,INTEL CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,SCHW,2020-03-10,CHARLES SCHWAB CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,INTC,2020-03-05,INTEL CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,UL,2020-03-03,UNILEVER PLC,"1,001-15,000",Purchase,D,House
Earl Blumenauer,GD,2020-03-03,GENERAL DYNAMICS CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,MSFT,2020-03-03,MICROSOFT CORPORATION,"1,001-15,000",Purchase,D,House
Earl Blumenauer,DGX,2020-03-02,QUEST DIAGNOSTICS INCORPORATED,"1,001-15,000",Purchase,D,House
Earl Blumenauer,VIAC,2020-03-02,VIACOMCBS INC. - CLASS B,"1,001-15,000",Purchase,D,House
Earl Blumenauer,CB,2020-03-02,CHUBB LIMITED,"1,001-15,000",Purchase,D,House
Earl Blumenauer,DIS,2020-02-28,WALT DISNEY COMPANY,"1,001-15,000",Purchase,D,House
Earl Blumenauer,NWN,2020-02-14,NORTHWEST NATURAL HOLDING COMPANY,"1,001-15,000",Purchase,D,House
John A. Yarmuth,TLRY,2020-11-05,"TILRAY, INC. - CLASS 2","1,001-15,000",Purchase,D,House
John A. Yarmuth,CGC,2020-11-05,CANOPY GROWTH CORPORATION,"1,001-15,000",Purchase,D,House
John A. Yarmuth,ACB,2020-11-05,AURORA CANNABIS INC. COMMON SHARES,"1,001-15,000",Purchase,D,House
John A. Yarmuth,CRON,2020-11-05,CRONOS GROUP INC. - COMMON SHARE,"1,001-15,000",Purchase,D,House
John A. Yarmuth,GWPH,2020-11-05,GW PHARMACEUTICALS PLC - AMERICAN DEPOSITARY SHARES,"1,001-15,000",Purchase,D,House
John A. Yarmuth,ARNA,2020-11-05,"ARENA PHARMACEUTICALS, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,APHA,2020-11-05,APHRIA INC. - COMMON SHARES,"1,001-15,000",Purchase,D,House
John A. Yarmuth,HUM,2020-10-29,HUMANA INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,MNST,2020-10-15,MONSTER BEVERAGE CORPORATION,"1,001-15,000",Purchase,D,House
John A. Yarmuth,FB,2020-10-15,"FACEBOOK, INC. - CLASS A","1,001-15,000",Purchase,D,House
John A. Yarmuth,PLD,2020-10-05,"PROLOGIS, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,ICE,2020-09-17,INTERCONTINENTAL EXCHANGE INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,LUV,2020-09-08,SOUTHWEST AIRLINES COMPANY,"1,001-15,000",Purchase,D,House
John A. Yarmuth,ROST,2020-09-08,"ROSS STORES, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,CB,2020-07-01,CHUBB LIMITED,"1,001-15,000",Purchase,D,House
John A. Yarmuth,GS,2020-07-01,"GOLDMAN SACHS GROUP, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,LIN,2020-07-01,LINDE PLC ORDINARY SHARE,"1,001-15,000",Purchase,D,House
John A. Yarmuth,NFLX,2020-07-01,"NETFLIX, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,EBAY,2020-07-01,EBAY INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,SPGI,2020-07-01,S&P GLOBAL INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,CCI,2020-07-01,CROWN CASTLE INTERNATIONAL CORP.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,GOOGL,2020-06-24,ALPHABET INC. - CLASS A,"1,001-15,000",Purchase,D,House
John A. Yarmuth,AAPL,2020-06-24,APPLE INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,TGT,2020-06-18,TARGET CORPORATION,"1,001-15,000",Purchase,D,House
John A. Yarmuth,C,2020-05-29,"CITIGROUP, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,APD,2020-05-29,"AIR PRODUCTS AND CHEMICALS, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,TMUS,2020-05-26,"T-MOBILE US, INC.","1,001-15,000",Purchase,D,House
John A. Yarmuth,COP,2020-03-31,CONOCOPHILLIPS,"1,001-15,000",Purchase,D,House
John A. Yarmuth,HON,2020-03-31,HONEYWELL INTERNATIONAL INC.,"1,001-15,000",Purchase,D,House
John A. Yarmuth,XOM,2020-03-31,EXXON MOBIL CORPORATION,"1,001-15,000",Purchase,D,House
John A. Yarmuth,BAC,2020-03-31,BANK OF AMERICA CORPORATION,"1,001-15,000",Purchase,D,House
John A. Yarmuth,TMO,2020-03-19,THERMO FISHER SCIENTIFIC INC,"1,001-15,000",Purchase,D,House
John A. Yarmuth,COST,2020-03-19,COSTCO WHOLESALE CORPORATION,"1,001-15,000",Purchase,D,House
John Curtis,C,2020-08-13,"CITIGROUP, INC.","1,001-15,000",Purchase,R,House
John Curtis,CSX,2020-08-13,CSX CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,TXN,2020-03-27,TEXAS INSTRUMENTS INCORPORATED,"1,001-15,000",Purchase,R,House
John Curtis,ADBE,2020-03-27,ADOBE INC.,"1,001-15,000",Purchase,R,House
John Curtis,DHR,2020-03-27,DANAHER CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,MNST,2020-03-27,MONSTER BEVERAGE CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,MRK,2020-03-27,"MERCK & COMPANY, INC. COMMON STOCK","1,001-15,000",Purchase,R,House
John Curtis,ATVI,2020-03-27,"ACTIVISION BLIZZARD, INC","1,001-15,000",Purchase,R,House
John Curtis,CME,2020-03-27,CME GROUP INC. - CLASS A,"1,001-15,000",Purchase,R,House
John Curtis,BAC,2020-03-27,BANK OF AMERICA CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,PEP,2020-03-27,"PEPSICO, INC.","1,001-15,000",Purchase,R,House
John Curtis,MA,2020-03-27,MASTERCARD INCORPORATED,"1,001-15,000",Purchase,R,House
John Curtis,MSFT,2020-03-27,MICROSOFT CORPORATION,"15,001-50,000",Purchase,R,House
John Curtis,COST,2020-03-27,COSTCO WHOLESALE CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,CMCSA,2020-03-27,COMCAST CORPORATION - CLASS A,"1,001-15,000",Purchase,R,House
John Curtis,ABT,2020-03-27,ABBOTT LABORATORIES,"1,001-15,000",Purchase,R,House
John Curtis,WM,2020-03-27,"WASTE MANAGEMENT, INC.","1,001-15,000",Purchase,R,House
John Curtis,AXP,2020-03-27,AMERICAN EXPRESS COMPANY,"1,001-15,000",Purchase,R,House
John Curtis,V,2020-03-27,VISA INC.,"1,001-15,000",Purchase,R,House
John Curtis,CVX,2020-03-27,CHEVRON CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,PG,2020-03-27,PROCTER & GAMBLE COMPANY,"1,001-15,000",Purchase,R,House
John Curtis,ANTM,2020-03-27,"ANTHEM, INC.","1,001-15,000",Purchase,R,House
John Curtis,INTC,2020-03-27,INTEL CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,LRCX,2020-03-27,LAM RESEARCH CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,DE,2020-03-27,DEERE & COMPANY,"1,001-15,000",Purchase,R,House
John Curtis,LMT,2020-03-27,LOCKHEED MARTIN CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,GOOGL,2020-03-27,ALPHABET INC. - CLASS A,"15,001-50,000",Purchase,R,House
John Curtis,JPM,2020-03-27,JP MORGAN CHASE & CO.,"1,001-15,000",Purchase,R,House
John Curtis,BLK,2020-03-27,"BLACKROCK, INC.","1,001-15,000",Purchase,R,House
John Curtis,NVDA,2020-03-27,NVIDIA CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,UNP,2020-03-27,UNION PACIFIC CORPORATION,"1,001-15,000",Purchase,R,House
John Curtis,HD,2020-03-27,"HOME DEPOT, INC.","1,001-15,000",Purchase,R,House
John Curtis,ISRG,2020-03-27,"INTUITIVE SURGICAL, INC.","1,001-15,000",Purchase,R,House
John Curtis,SPGI,2020-03-27,S&P GLOBAL INC.,"1,001-15,000",Purchase,R,House
John Curtis,ZTS,2020-03-27,ZOETIS INC. CLASS A,"1,001-15,000",Purchase,R,House
John Curtis,CRM,2020-03-27,SALESFORCE.COM INC,"1,001-15,000",Purchase,R,House
John Curtis,AMAT,2020-03-27,"APPLIED MATERIALS, INC.","1,001-15,000",Purchase,R,House
John Curtis,BDX,2020-03-27,"BECTON, DICKINSON AND COMPANY","1,001-15,000",Purchase,R,House
John Curtis,LVS,2020-03-27,LAS VEGAS SANDS CORP.,"1,001-15,000",Purchase,R,House
John Curtis,SBUX,2020-03-27,STARBUCKS CORPORATION,"1,001-15,000",Purchase,R,House
Mark Dr Green,AMZA,2020-12-24,INFRACAP MLP ETF,"500,001-1,000,000",Purchase,R,House
Mark Dr Green,NGL,2020-12-24,NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS,"50,001-100,000",Purchase,R,House
Mark Dr Green,AMZA,2020-12-23,INFRACAP MLP ETF,"500,001-1,000,000",Purchase,R,House
Mark Dr Green,NGL,2020-12-11,NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS,"50,001-100,000",Purchase,R,House
Mark Dr Green,NGL,2020-12-10,NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS,"50,001-100,000",Purchase,R,House
Mark Dr Green,ET,2020-12-10,ENERGY TRANSFER LP COMMON UNITS,"50,001-100,000",Purchase,R,House
Mark Dr Green,AM,2020-12-01,ANTERO MIDSTREAM CORPORATION,"100,001-250,000",Purchase,R,House
Mark Dr Green,SHLX,2020-12-01,"SHELL MIDSTREAM PARTNERS, L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS","100,001-250,000",Purchase,R,House
